x,y,z,class,start_time,end_time,start_datetime,end_datetime,sound_path,sampled,background_silence,birds,frogs,human_speech,insects,mammals,misc/uncertain,rain_(heavy),rain_(light),vehicles_(aircraft/cars),wind_(strong),wind_(light),propagated_class
-0.9819709,8.6786175,10.553549,-1,0,0,00:00.0,00:00.0,uploads\79a1cc38-4503-11f0-96ab-2c0da73a8026\20210615T120000+1000_REC_184.wav,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,birds
-0.93384737,8.612981,10.380439,-1,0,0,00:00.0,00:00.0,uploads\79a1cc38-4503-11f0-96ab-2c0da73a8026\20210615T160000+1000_REC_81.wav,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,birds
-0.9744977,8.616978,10.41763,-1,0,0,00:00.0,00:00.0,uploads\79a1cc38-4503-11f0-96ab-2c0da73a8026\20210615T160000+1000_REC_82.wav,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,birds
-0.7567657,5.625066,9.80234,0,0,0,00:00.0,00:00.0,uploads\79a1cc38-4503-11f0-96ab-2c0da73a8026\20210615T000000+1000_REC_0.wav,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,birds
-2.4758596,5.846237,10.92536,0,0,0,00:00.0,00:00.0,uploads\79a1cc38-4503-11f0-96ab-2c0da73a8026\20210615T000000+1000_REC_127.wav,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,birds
-0.5058473,7.671866,9.084102,0,0,0,00:00.0,00:00.0,uploads\79a1cc38-4503-11f0-96ab-2c0da73a8026\20210615T000000+1000_REC_132.wav,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,birds
-1.4094286,6.4032283,9.318006,0,0,0,00:00.0,00:00.0,uploads\79a1cc38-4503-11f0-96ab-2c0da73a8026\20210615T000000+1000_REC_172.wav,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,birds
-1.4448973,6.4031515,9.317426,0,0,0,00:00.0,00:00.0,uploads\79a1cc38-4503-11f0-96ab-2c0da73a8026\20210615T000000+1000_REC_177.wav,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,birds
-0.44820076,4.722353,9.756472,0,0,0,00:00.0,00:00.0,uploads\79a1cc38-4503-11f0-96ab-2c0da73a8026\20210615T000000+1000_REC_180.wav,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,birds
-0.45842677,4.7223296,9.749057,0,0,0,00:00.0,00:00.0,uploads\79a1cc38-4503-11f0-96ab-2c0da73a8026\20210615T000000+1000_REC_181.wav,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,birds
-0.5186577,4.693822,9.775046,0,0,0,00:00.0,00:00.0,uploads\79a1cc38-4503-11f0-96ab-2c0da73a8026\20210615T000000+1000_REC_182.wav,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,birds
-0.48843238,4.727729,9.799619,0,0,0,00:00.0,00:00.0,uploads\79a1cc38-4503-11f0-96ab-2c0da73a8026\20210615T000000+1000_REC_183.wav,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,birds
-1.4361286,6.4131746,9.308639,0,0,0,00:00.0,00:00.0,uploads\79a1cc38-4503-11f0-96ab-2c0da73a8026\20210615T000000+1000_REC_187.wav,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,birds
-0.5021055,6.7300396,11.104981,0,0,0,00:00.0,00:00.0,uploads\79a1cc38-4503-11f0-96ab-2c0da73a8026\20210615T000000+1000_REC_214.wav,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,birds
-0.99598044,9.677514,11.575416,0,0,0,00:00.0,00:00.0,uploads\79a1cc38-4503-11f0-96ab-2c0da73a8026\20210615T000000+1000_REC_239.wav,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,birds
-0.31735846,7.5436244,9.177868,0,0,0,00:00.0,00:00.0,uploads\79a1cc38-4503-11f0-96ab-2c0da73a8026\20210615T000000+1000_REC_246.wav,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,birds
-0.45917982,7.5760336,9.060232,0,0,0,00:00.0,00:00.0,uploads\79a1cc38-4503-11f0-96ab-2c0da73a8026\20210615T000000+1000_REC_247.wav,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,birds
-0.51561993,7.6973505,9.030507,0,0,0,00:00.0,00:00.0,uploads\79a1cc38-4503-11f0-96ab-2c0da73a8026\20210615T000000+1000_REC_265.wav,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,birds
-0.5254414,7.725177,9.053973,0,0,0,00:00.0,00:00.0,uploads\79a1cc38-4503-11f0-96ab-2c0da73a8026\20210615T000000+1000_REC_266.wav,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,birds
-1.1509223,4.5081434,9.361111,0,0,0,00:00.0,00:00.0,uploads\79a1cc38-4503-11f0-96ab-2c0da73a8026\20210615T020000+1000_REC_122.wav,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,birds
-0.78798074,6.5753093,11.1588745,0,0,0,00:00.0,00:00.0,uploads\79a1cc38-4503-11f0-96ab-2c0da73a8026\20210615T020000+1000_REC_257.wav,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,birds
-0.5467979,8.203473,9.273074,0,0,0,00:00.0,00:00.0,uploads\79a1cc38-4503-11f0-96ab-2c0da73a8026\20210615T040000+1000_REC_57.wav,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,birds
-0.59717584,8.17313,9.242354,0,0,0,00:00.0,00:00.0,uploads\79a1cc38-4503-11f0-96ab-2c0da73a8026\20210615T040000+1000_REC_84.wav,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,birds
-2.9625635,6.4742217,7.9773374,0,0,0,00:00.0,00:00.0,uploads\79a1cc38-4503-11f0-96ab-2c0da73a8026\20210615T040000+1000_REC_109.wav,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,birds
-2.9571495,6.4857826,7.984941,0,0,0,00:00.0,00:00.0,uploads\79a1cc38-4503-11f0-96ab-2c0da73a8026\20210615T040000+1000_REC_110.wav,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,birds
-2.96338,6.4811926,7.9782233,0,0,0,00:00.0,00:00.0,uploads\79a1cc38-4503-11f0-96ab-2c0da73a8026\20210615T040000+1000_REC_111.wav,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,birds
-2.797466,6.440964,8.082506,0,0,0,00:00.0,00:00.0,uploads\79a1cc38-4503-11f0-96ab-2c0da73a8026\20210615T040000+1000_REC_112.wav,TRUE,0,1,0,0,1,0,0,0,0,0,0,0,birds
-2.7936726,6.4400764,8.08207,0,0,0,00:00.0,00:00.0,uploads\79a1cc38-4503-11f0-96ab-2c0da73a8026\20210615T040000+1000_REC_113.wav,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,birds
-2.975158,6.4696097,7.965158,0,0,0,00:00.0,00:00.0,uploads\79a1cc38-4503-11f0-96ab-2c0da73a8026\20210615T040000+1000_REC_114.wav,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,birds
-2.9430318,6.4878774,7.994927,0,0,0,00:00.0,00:00.0,uploads\79a1cc38-4503-11f0-96ab-2c0da73a8026\20210615T040000+1000_REC_115.wav,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,birds
