x,y,z,class,start_time,end_time,start_datetime,end_datetime,sound_path,sampled,background_silence,birds,frogs,human_speech,insects,mammals,misc/uncertain,rain_(heavy),rain_(light),vehicles_(aircraft/cars),wind_(strong),wind_(light),propagated_class
1.1911254,6.0968103,8.742673,0,0,0,1970-01-01 00:00:00.000,1970-01-01 00:00:00.000,uploads\24a37ddf-4580-11f0-8a73-2c0da73a8026\20210430T000000+1000_REC_0.wav,False,0,0,0,0,0,0,0,0,0,0,0,0,
-0.73475826,6.953065,4.2417226,1,0,0,1970-01-01 00:00:00.000,1970-01-01 00:00:00.000,uploads\24a37ddf-4580-11f0-8a73-2c0da73a8026\20210430T000000+1000_REC_1.wav,False,0,0,0,0,0,0,0,0,0,0,0,0,
-1.1965845,7.181693,4.550244,1,0,0,1970-01-01 00:00:00.000,1970-01-01 00:00:00.000,uploads\24a37ddf-4580-11f0-8a73-2c0da73a8026\20210430T000000+1000_REC_2.wav,False,0,0,0,0,0,0,0,0,0,0,0,0,
-0.99350286,7.0250306,3.9239845,1,0,0,1970-01-01 00:00:00.000,1970-01-01 00:00:00.000,uploads\24a37ddf-4580-11f0-8a73-2c0da73a8026\20210430T000000+1000_REC_3.wav,False,0,0,0,0,0,0,0,0,0,0,0,0,
-0.77379054,6.989383,4.2155614,1,0,0,1970-01-01 00:00:00.000,1970-01-01 00:00:00.000,uploads\24a37ddf-4580-11f0-8a73-2c0da73a8026\20210430T000000+1000_REC_4.wav,False,0,0,0,0,0,0,0,0,0,0,0,0,
0.29407233,6.998962,6.8075514,0,0,0,1970-01-01 00:00:00.000,1970-01-01 00:00:00.000,uploads\24a37ddf-4580-11f0-8a73-2c0da73a8026\20210430T000000+1000_REC_5.wav,False,0,0,0,0,0,0,0,0,0,0,0,0,
1.0579282,6.138659,8.412551,0,0,0,1970-01-01 00:00:00.000,1970-01-01 00:00:00.000,uploads\24a37ddf-4580-11f0-8a73-2c0da73a8026\20210430T000000+1000_REC_6.wav,False,0,0,0,0,0,0,0,0,0,0,0,0,
1.3023039,5.6199713,9.779168,2,0,0,1970-01-01 00:00:00.000,1970-01-01 00:00:00.000,uploads\24a37ddf-4580-11f0-8a73-2c0da73a8026\20210430T000000+1000_REC_7.wav,True,0,0,0,0,0,0,0,0,0,0,0,0,
0.5786801,8.07482,9.023828,0,0,0,1970-01-01 00:00:00.000,1970-01-01 00:00:00.000,uploads\24a37ddf-4580-11f0-8a73-2c0da73a8026\20210430T000000+1000_REC_8.wav,False,0,0,0,0,0,0,0,0,0,0,0,0,
-1.0920136,7.0060954,4.126156,1,0,0,1970-01-01 00:00:00.000,1970-01-01 00:00:00.000,uploads\24a37ddf-4580-11f0-8a73-2c0da73a8026\20210430T000000+1000_REC_9.wav,False,0,0,0,0,0,0,0,0,0,0,0,0,
-0.9128875,6.931349,4.1787524,1,0,0,1970-01-01 00:00:00.000,1970-01-01 00:00:00.000,uploads\24a37ddf-4580-11f0-8a73-2c0da73a8026\20210430T000000+1000_REC_10.wav,False,0,0,0,0,0,0,0,0,0,0,0,0,
-1.0301837,6.9626393,4.094422,1,0,0,1970-01-01 00:00:00.000,1970-01-01 00:00:00.000,uploads\24a37ddf-4580-11f0-8a73-2c0da73a8026\20210430T000000+1000_REC_11.wav,False,0,0,0,0,0,0,0,0,0,0,0,0,
-0.7402206,6.9386907,4.2636905,1,0,0,1970-01-01 00:00:00.000,1970-01-01 00:00:00.000,uploads\24a37ddf-4580-11f0-8a73-2c0da73a8026\20210430T000000+1000_REC_12.wav,False,0,0,0,0,0,0,0,0,0,0,0,0,
-1.1168642,7.031969,4.086725,1,0,0,1970-01-01 00:00:00.000,1970-01-01 00:00:00.000,uploads\24a37ddf-4580-11f0-8a73-2c0da73a8026\20210430T000000+1000_REC_13.wav,False,0,0,0,0,0,0,0,0,0,0,0,0,
-1.9637473,6.8696,2.3983526,1,0,0,1970-01-01 00:00:00.000,1970-01-01 00:00:00.000,uploads\24a37ddf-4580-11f0-8a73-2c0da73a8026\20210430T000000+1000_REC_14.wav,True,0,0,0,0,0,0,0,0,0,0,0,0,
-1.5186962,6.947732,3.0490615,1,0,0,1970-01-01 00:00:00.000,1970-01-01 00:00:00.000,uploads\24a37ddf-4580-11f0-8a73-2c0da73a8026\20210430T000000+1000_REC_15.wav,False,0,0,0,0,0,0,0,0,0,0,0,0,
