x,y,z,class,start_time,end_time,start_datetime,end_datetime,sound_path,sampled,background_silence,birds,frogs,human_speech,insects,mammals,misc/uncertain,rain_(heavy),rain_(light),vehicles_(aircraft/cars),wind_(strong),wind_(light),propagated_class
11.893006,14.2247715,9.691375,0,0,0,00:00.0,00:00.0,uploads\f2e6d795-3777-11f0-84b6-581122bb7f2c\20210509T000000+1000_REC_0.wav,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,insects
11.874069,14.195047,9.671039,0,0,0,00:00.0,00:00.0,uploads\f2e6d795-3777-11f0-84b6-581122bb7f2c\20210509T000000+1000_REC_1.wav,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,insects
11.511229,14.096133,9.375393,0,0,0,00:00.0,00:00.0,uploads\f2e6d795-3777-11f0-84b6-581122bb7f2c\20210509T000000+1000_REC_2.wav,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,insects
11.854559,14.173358,9.654684,0,0,0,00:00.0,00:00.0,uploads\f2e6d795-3777-11f0-84b6-581122bb7f2c\20210509T000000+1000_REC_3.wav,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,insects
11.347162,15.2121315,8.917265,0,0,0,00:00.0,00:00.0,uploads\f2e6d795-3777-11f0-84b6-581122bb7f2c\20210509T000000+1000_REC_4.wav,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,insects
11.948884,14.242372,9.742265,0,0,0,00:00.0,00:00.0,uploads\f2e6d795-3777-11f0-84b6-581122bb7f2c\20210509T000000+1000_REC_5.wav,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,insects
11.65905,14.007906,9.547051,0,0,0,00:00.0,00:00.0,uploads\f2e6d795-3777-11f0-84b6-581122bb7f2c\20210509T000000+1000_REC_6.wav,TRUE,0,0,0,0,1,0,0,0,1,0,0,0,insects
11.68681,13.976695,9.589951,0,0,0,00:00.0,00:00.0,uploads\f2e6d795-3777-11f0-84b6-581122bb7f2c\20210509T000000+1000_REC_7.wav,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,insects
11.723785,13.976839,9.623881,0,0,0,00:00.0,00:00.0,uploads\f2e6d795-3777-11f0-84b6-581122bb7f2c\20210509T000000+1000_REC_8.wav,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,insects
11.877956,14.217579,9.662699,0,0,0,00:00.0,00:00.0,uploads\f2e6d795-3777-11f0-84b6-581122bb7f2c\20210509T000000+1000_REC_9.wav,TRUE,0,0,0,0,1,0,0,0,0,0,0,0,insects
11.932666,14.254927,9.711799,0,0,0,00:00.0,00:00.0,uploads\f2e6d795-3777-11f0-84b6-581122bb7f2c\20210509T000000+1000_REC_10.wav,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,insects
11.777989,14.254828,9.569063,0,0,0,00:00.0,00:00.0,uploads\f2e6d795-3777-11f0-84b6-581122bb7f2c\20210509T000000+1000_REC_11.wav,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,insects
11.873473,14.22287,9.664254,0,0,0,00:00.0,00:00.0,uploads\f2e6d795-3777-11f0-84b6-581122bb7f2c\20210509T000000+1000_REC_12.wav,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,insects
11.719803,14.180696,9.529273,0,0,0,00:00.0,00:00.0,uploads\f2e6d795-3777-11f0-84b6-581122bb7f2c\20210509T000000+1000_REC_13.wav,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,insects
11.9337845,14.247696,9.717321,0,0,0,00:00.0,00:00.0,uploads\f2e6d795-3777-11f0-84b6-581122bb7f2c\20210509T000000+1000_REC_14.wav,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,insects
11.849224,14.27517,9.631501,0,0,0,00:00.0,00:00.0,uploads\f2e6d795-3777-11f0-84b6-581122bb7f2c\20210509T000000+1000_REC_15.wav,TRUE,0,0,0,0,1,0,0,0,0,0,0,0,insects
