x,y,class
-9.241604,17.702515,0
-9.525599,17.399324,0
-9.702637,17.388018,0
-8.658358,17.549181,0
-8.531957,18.39859,0
2.8391242,22.541327,1
-8.65691,17.543682,0
2.3430955,23.14717,1
2.2589853,22.078114,1
-9.785291,17.671917,0
-9.881745,17.621948,0
-9.773042,17.518702,0
-8.982738,18.241962,0
-8.908661,18.28463,0
-9.47767,17.48598,0
-9.670215,17.711782,0
-9.589329,17.559298,0
-9.716677,17.688862,0
-9.81261,18.077223,0
2.6380966,22.98719,1
-9.71151,18.37812,0
-9.833605,17.589466,0
-8.590047,18.421295,0
2.183771,22.258318,1
2.6074207,22.974258,1
2.9078655,23.341074,1
-9.6681385,17.920124,0
-9.790202,17.64761,0
-9.782396,17.630423,0
2.1429853,23.167925,1
-9.7355175,17.616573,0
-9.820389,17.54584,0
-9.8154,17.556263,0
-9.9090395,17.734764,0
-9.818853,18.004898,0
-9.8688545,17.949512,0
-9.334087,17.983652,0
-9.898536,17.861683,0
-9.920132,17.833668,0
-9.638939,17.73352,0
-9.87246,17.957306,0
1.7354237,22.61069,1
-9.939931,17.695446,0
-9.728332,18.229279,0
-9.453282,17.715418,0
-9.894178,17.603943,0
2.1058388,21.906685,1
0.22743069,22.278316,1
2.0175517,21.851486,1
2.4127047,23.466377,1
2.5908349,22.982325,1
-9.777282,18.754017,0
2.3923938,23.48995,1
2.24061,23.122793,1
-9.2563925,18.546864,0
-9.464289,18.20686,0
-9.147872,18.528923,0
-9.172434,18.57535,0
-9.231932,17.795765,0
2.8717303,22.604757,1
-9.446085,18.364832,0
-9.012727,18.056633,0
-9.563423,18.323042,0
-9.794094,18.799597,0
-9.363893,18.244576,0
-9.349135,18.245518,0
-9.568602,18.099283,0
-9.412984,18.331501,0
-9.350983,18.121105,0
-9.438753,18.259216,0
2.8661027,22.617428,1
-9.302068,18.066813,0
-9.3599415,17.920574,0
-8.704779,17.742529,0
-9.463658,18.208252,0
-9.226744,18.23885,0
-9.522012,18.203255,0
1.6735276,22.857414,1
-9.4067745,18.221905,0
-9.333879,17.968098,0
-9.61609,18.319937,0
-9.543312,18.198418,0
-9.548138,18.33481,0
-9.455676,18.17505,0
-9.529855,18.296865,0
-9.831285,18.57246,0
-9.546155,18.363874,0
-9.6740885,18.387869,0
-9.650998,18.3901,0
-8.825387,18.305613,0
-9.428357,18.291948,0
-9.31103,18.001726,0
-9.27543,17.78521,0
-9.656668,18.265245,0
-9.549131,18.31084,0
-9.826394,18.728247,0
-9.646802,18.368443,0
-9.358611,18.223057,0
-9.215005,18.44649,0
-9.179253,18.553286,0
-9.274471,18.382906,0
-9.469449,18.22808,0
-9.191017,18.232252,0
-9.1891,18.142725,0
-9.120017,18.160858,0
-8.863012,18.221395,0
-9.075331,18.481941,0
3.029858,23.276098,1
-8.517628,18.374344,0
-8.927842,18.415136,0
-8.874748,18.241377,0
-9.493642,18.132826,0
-8.570127,17.659754,0
-8.78543,18.126898,0
2.7414043,22.991629,1
-9.380725,17.888105,0
-9.325455,18.170515,0
-9.263635,17.675074,0
2.0678828,23.414608,1
-8.988715,18.446833,0
-9.196185,17.78479,0
-9.713564,18.4204,0
-8.875185,18.248531,0
-9.832378,18.012602,0
-9.484646,17.836428,0
-9.676298,17.560417,0
-9.670084,18.37778,0
-9.64444,18.43094,0
-9.356383,18.19142,0
-9.1811495,18.639956,0
2.5800223,23.151203,1
-9.460487,18.132048,0
-9.603483,18.47851,0
-9.633068,18.390787,0
-9.207107,18.231432,0
-9.206463,18.647573,0
-9.163784,18.673687,0
-9.8283615,18.072868,0
-9.770992,18.875307,0
-9.726389,18.869556,0
2.1375585,23.085304,1
-9.698912,18.875647,0
-9.204141,18.660711,0
-9.69674,18.918528,0
-8.964217,18.311764,0
-9.3365555,17.932701,0
-9.042124,18.564976,0
-9.729548,18.861435,0
-9.671477,17.988157,0
-9.744152,18.871817,0
-9.760705,18.876081,0
-9.759023,18.862253,0
2.8982139,23.40902,1
-9.203101,18.69509,0
-9.84344,18.795588,0
-9.809462,18.031858,0
-9.750345,18.871817,0
-8.740022,18.277422,0
-9.350214,18.7572,0
-9.775694,18.879608,0
-9.763078,18.87207,0
-9.062059,18.604427,0
2.8965833,22.974712,1
-9.483375,17.88944,0
-9.729526,18.88213,0
-8.733945,18.171816,0
-8.619973,17.80119,0
-9.745252,18.872606,0
-8.6375,17.98134,0
-9.301483,17.867964,0
-9.087344,18.63017,0
-9.298668,17.75469,0
-9.517513,17.922125,0
-9.371974,18.748943,0
0.4648735,22.644882,1
-9.265572,17.830276,0
-9.826623,17.833284,0
-8.634602,17.67107,0
-8.665643,18.234463,0
-9.113907,17.770304,0
-9.817878,17.780985,0
-8.45044,18.42037,0
-9.726212,18.134336,0
-9.847193,17.827501,0
1.9993265,23.547728,1
-8.917078,17.584587,0
-9.824439,17.970886,0
2.6594236,7.567643,3
-9.773005,17.580355,0
-9.768501,17.78993,0
-9.325502,17.672615,0
-9.857101,17.976938,0
-8.531444,17.692257,0
-9.782117,17.756325,0
-9.370596,17.650034,0
-9.431787,17.704445,0
2.9505906,22.590134,1
-9.77941,17.583363,0
-9.156525,17.525808,0
-8.476804,17.629738,0
-9.258641,17.62444,0
-8.579903,17.650414,0
-8.536547,17.71726,0
-8.479085,17.701176,0
-9.61226,17.525415,0
-8.589443,17.728344,0
2.6930802,22.864216,1
-8.977537,17.602102,0
-8.419406,18.474533,0
-9.362403,17.443604,0
-8.480515,17.670702,0
-8.994647,17.44274,0
-8.544842,17.691229,0
-9.502246,17.46772,0
2.881079,22.665556,1
1.2746307,23.424107,1
-9.34532,17.418722,0
-9.0981655,17.516684,0
2.5720558,22.92706,1
2.9273257,22.648962,1
-9.453624,17.389719,0
-8.679428,17.695707,0
-8.528506,17.705881,0
-8.909193,17.596785,0
-8.546652,17.68068,0
-8.629676,17.59812,0
-9.064384,17.539303,0
-9.139861,17.565907,0
2.584867,22.781223,1
-9.010606,17.589615,0
-9.5342865,17.51212,0
-8.76908,17.584446,0
-8.612302,17.714214,0
-9.182973,17.65263,0
-8.641974,17.583384,0
-9.181646,17.586052,0
