,Best approach,Silhouette Coefficient,Calinski-Harabasz,Davies-Bouldin,Dunn-Index,Composite Score
39-features-Duval-DryA-20min-full-day_perplexity_5,ward,0.26409182,1300.0935779962363,1.325215284799321,0.023986146357547564,2.0058902145038657
39-features-Duval-DryA-20min-full-day_perplexity_30,ward,0.33715987,1757.7536296696528,0.9105164305724752,0.019549361186608525,2.802989051949578
39-features-Duval-DryA-20min-full-day_perplexity_50,complete,0.34013733,2110.183063736881,0.8985050990197269,0.022778461249909947,2.6169463917639804
39-features-Mourachan-WetA-20min-full-day_perplexity_5,ward,0.22930667,1032.6110804248574,1.3847962679546233,0.021919739589346243,2.0074884550282457
39-features-Mourachan-WetA-20min-full-day_perplexity_30,ward,0.29439002,1286.45572749143,1.2584772929634112,0.028528295772045378,2.2887277783405238
39-features-Mourachan-WetA-20min-full-day_perplexity_50,average,0.33833483,1479.842802040446,1.1451399332703762,0.05413436618442062,2.139313438704473
39-features-Rinyirru-WetB-20min-full-day_perplexity_5,single,0.01994657,23.8578552881668,0.7508088747540903,0.1210689923446047,1.999999998022989
39-features-Rinyirru-WetB-20min-full-day_perplexity_30,ward,0.34371588,1513.9550960400004,1.1365980944086809,0.02496304873729407,2.027537633814669
39-features-Rinyirru-WetB-20min-full-day_perplexity_50,ward,0.36190483,1586.2610521173167,1.2387879427050394,0.017986253113777696,2.0569176931216364
39-features-Undara-DryB-20min-full-day_perplexity_5,average,0.2570998,1220.5331940944711,1.3032963576228098,0.04107575707452304,2.246747844842957
39-features-Undara-DryB-20min-full-day_perplexity_30,average,0.34446517,1637.5981488126351,1.1759870744434455,0.025891347168928897,2.0757741039791613
39-features-Undara-DryB-20min-full-day_perplexity_50,single,0.18869062,485.97577173105356,0.9473681733636385,0.0964201339836887,1.9999999975536977
39-features-Wambiana-WetA-20min-full-day_perplexity_5,single,-0.0016455681,213.92640860911806,1.0263523233788174,0.10030762632709217,1.9999999975134555
39-features-Wambiana-WetA-20min-full-day_perplexity_30,ward,0.3654933,1529.2370473869403,1.0484925212462322,0.040573961866977225,2.3920296134830212
39-features-Wambiana-WetA-20min-full-day_perplexity_50,ward,0.41949424,1884.675277048064,1.0755183414023393,0.04896193979248107,2.0310121251799287
Tarcutta-DryA-20210430_perplexity_5,complete,0.2500081,1200.2752255782136,1.295079240310734,0.023108099720158478,2.002405707426077
Tarcutta-DryA-20210430_perplexity_30,complete,0.3765564,2088.1994907773174,1.0402712539800782,0.01990755818968782,2.51994019314343
Tarcutta-DryA-20210430_perplexity_50,ward,0.4024003,2376.4340997608847,0.9812997658028312,0.021354388353604644,2.995984325633042
