,Best approach,Silhouette Coefficient,Calinski-Harabasz,Davies-Bouldin,Dunn-Index,Composite Score
39-features-Duval-DryA-20min-full-day_n_neighbors_5_min_dist_0.1,average,0.4738246,3050.5139717728616,0.8424641061046808,0.018808254129380635,2.6232458271545176
39-features-Duval-DryA-20min-full-day_n_neighbors_5_min_dist_0.5,average,0.34939998,2150.7985400239336,1.0692587076879672,0.01858568180504334,2.43810014196942
39-features-Duval-DryA-20min-full-day_n_neighbors_5_min_dist_0.9,complete,0.27012554,1403.510334467085,1.0172798023105694,0.018261991869198538,2.5093190661484264
39-features-Duval-DryA-20min-full-day_n_neighbors_15_min_dist_0.1,ward,0.45729247,3094.349707445223,0.8527166654825192,0.022432992001455064,3.0985868230099602
39-features-Duval-DryA-20min-full-day_n_neighbors_15_min_dist_0.5,ward,0.35720447,1999.2169623361242,0.9547063922954466,0.02118555019192875,2.8351868109177616
39-features-Duval-DryA-20min-full-day_n_neighbors_15_min_dist_0.9,ward,0.3189426,1739.293785745964,1.0694847059029708,0.021731899689652886,2.8447834080195693
39-features-Duval-DryA-20min-full-day_n_neighbors_50_min_dist_0.1,average,0.47571963,3122.642199850353,0.7702662645414726,0.01787579087560439,3.0080291914874002
39-features-Duval-DryA-20min-full-day_n_neighbors_50_min_dist_0.5,average,0.32575357,2044.6423140521226,1.0878013504316428,0.02114824943636664,2.0464960691408804
39-features-Duval-DryA-20min-full-day_n_neighbors_50_min_dist_0.9,average,0.32369748,1718.087147306818,1.0080419180770432,0.021621565432230525,2.840387823809504
39-features-Mourachan-WetA-20min-full-day_n_neighbors_5_min_dist_0.1,complete,0.41055956,1582.073030840255,1.0961933784437807,0.23718996598474937,2.9413753310700037
39-features-Mourachan-WetA-20min-full-day_n_neighbors_5_min_dist_0.5,complete,0.36787084,1529.4548673684085,1.0832814929082648,0.019207664423109592,2.0630329680465973
39-features-Mourachan-WetA-20min-full-day_n_neighbors_5_min_dist_0.9,ward,0.301636,1409.5493514336254,1.1764191581318115,0.03128579911393593,2.053317927662592
39-features-Mourachan-WetA-20min-full-day_n_neighbors_15_min_dist_0.1,ward,0.49961978,2271.013869192815,0.9511705663872297,0.3167086970878374,1.9999999988834118
39-features-Mourachan-WetA-20min-full-day_n_neighbors_15_min_dist_0.5,ward,0.44337553,1865.447414400804,1.0039281334406278,0.1188294436573418,2.1020652270428797
39-features-Mourachan-WetA-20min-full-day_n_neighbors_15_min_dist_0.9,single,0.38891774,1161.5494081550992,0.6560330193225907,0.18380025752351675,2.7286751115963948
39-features-Mourachan-WetA-20min-full-day_n_neighbors_50_min_dist_0.1,ward,0.54160905,2748.0121194282874,0.7999878716114859,0.33976512590320584,2.6224110501696525
39-features-Mourachan-WetA-20min-full-day_n_neighbors_50_min_dist_0.5,complete,0.4743287,1907.4998007965485,0.8295302944003602,0.2974287572409062,2.4178861122076043
39-features-Mourachan-WetA-20min-full-day_n_neighbors_50_min_dist_0.9,average,0.5306884,2503.9955814012774,0.47774241227158515,0.33454792258749627,2.9999999981378664
39-features-Rinyirru-WetB-20min-full-day_n_neighbors_5_min_dist_0.1,average,0.48977372,1591.3295769616163,0.688131398265897,0.2213964524338406,2.9939004991408282
