,Best approach,Silhouette Coefficient,Calinski-Harabasz,Davies-Bouldin,Dunn-Index,Composite Score
39-features-Duval-DryA-20min-full-day_n_neighbors_5_min_dist_0.1,"min_cluster_size=5, min_samples=2",0.24299575,302.18862241641784,0.8695909191689699,0.23428894080699295,2.3337664158607394
39-features-Duval-DryA-20min-full-day_n_neighbors_5_min_dist_0.2,"min_cluster_size=5, min_samples=2",0.23809963,317.91505697807116,0.8714084959812288,0.11159050106512916,3.999999997122819
39-features-Duval-DryA-20min-full-day_n_neighbors_5_min_dist_0.3,"min_cluster_size=5, min_samples=2",0.13201106,627.0689421113402,1.225271607203303,0.007413684396886495,2.7917019759639325
39-features-Duval-DryA-20min-full-day_n_neighbors_5_min_dist_0.4,"min_cluster_size=5, min_samples=2",0.04776192,209.43764895412033,1.2731286373565074,0.01788063180613902,2.4868562018482683
39-features-Duval-DryA-20min-full-day_n_neighbors_10_min_dist_0.1,"min_cluster_size=5, min_samples=2",0.32092613,1258.0089331774386,1.2174623285433728,0.014967711313410462,3.0976592562347
39-features-Duval-DryA-20min-full-day_n_neighbors_10_min_dist_0.2,"min_cluster_size=5, min_samples=2",0.19278955,864.2436515108333,1.2969473259940905,0.011381632135711587,3.295204628127946
39-features-Duval-DryA-20min-full-day_n_neighbors_10_min_dist_0.3,"min_cluster_size=5, min_samples=2",0.16298383,696.7797544805481,1.3006910304378454,0.018667619654584796,3.391442059866607
39-features-Duval-DryA-20min-full-day_n_neighbors_10_min_dist_0.4,"min_cluster_size=5, min_samples=2",0.18001589,810.3693423994845,1.1882989674893358,0.017905222357796714,3.3389753404516425
39-features-Duval-DryA-20min-full-day_n_neighbors_15_min_dist_0.1,"min_cluster_size=5, min_samples=2",0.26862052,1082.6270964254234,1.227138138297642,0.012035752261269652,2.6441425767119937
39-features-Duval-DryA-20min-full-day_n_neighbors_15_min_dist_0.2,"min_cluster_size=5, min_samples=2",0.1658345,668.5666957088467,1.2232686838622344,0.011488242083367017,3.0479493970966085
39-features-Duval-DryA-20min-full-day_n_neighbors_15_min_dist_0.3,"min_cluster_size=5, min_samples=2",0.07790336,434.17031877707404,1.2478841919563346,0.01707304923337312,3.641622222304065
39-features-Duval-DryA-20min-full-day_n_neighbors_15_min_dist_0.4,"min_cluster_size=5, min_samples=2",0.035223685,245.25634606779,1.3653505604965093,0.017252532810437708,3.232797421847032
39-features-Duval-DryA-20min-full-day_n_neighbors_20_min_dist_0.1,"min_cluster_size=5, min_samples=2",0.19771641,356.18435860021305,0.847367487555129,0.062402960779068435,2.8573442596919545
39-features-Duval-DryA-20min-full-day_n_neighbors_20_min_dist_0.2,"min_cluster_size=5, min_samples=2",0.15213086,523.6735240329795,1.3900060705614417,0.011315094075303877,3.093986186441177
39-features-Duval-DryA-20min-full-day_n_neighbors_20_min_dist_0.3,"min_cluster_size=5, min_samples=2",0.03404726,237.13203679225057,1.2423714614201966,0.014728883765264553,3.1477818641222455
39-features-Duval-DryA-20min-full-day_n_neighbors_20_min_dist_0.4,"min_cluster_size=5, min_samples=2",0.023721928,480.53648214468933,1.3167805239803356,0.00769148004651716,3.0014724141330222
39-features-Mourachan-WetA-20min-full-day_n_neighbors_5_min_dist_0.1,"min_cluster_size=5, min_samples=2",0.62961715,4039.2312674197337,0.4390543258599562,0.0671093393228706,3.9999999963632726
39-features-Mourachan-WetA-20min-full-day_n_neighbors_5_min_dist_0.2,"min_cluster_size=5, min_samples=2",0.6050264,2654.1259855479675,0.44427055593796927,0.2912361681140635,3.956563747047198
39-features-Mourachan-WetA-20min-full-day_n_neighbors_5_min_dist_0.3,"min_cluster_size=5, min_samples=2",0.49084026,2966.4520931959214,0.7095184766450249,0.009018287831693048,2.5379885265918687
