,Best approach,Silhouette Coefficient,Calinski-Harabasz,Davies-Bouldin,Dunn-Index,Composite Score
39-features-Duval-DryA-20min-full-day_n_neighbors_5_min_dist_0.1,"min_cluster_size=5, min_samples=1",0.2893248,75.26262291255112,1.2111338249856998,0.06985133961529805,0.5340149911959926
39-features-Duval-DryA-20min-full-day_n_neighbors_5_min_dist_0.5,"min_cluster_size=5, min_samples=1",0.06917043,46.46526255033069,1.32788504557703,0.0763956112634504,2.93409608636741
39-features-Duval-DryA-20min-full-day_n_neighbors_5_min_dist_0.9,"min_cluster_size=5, min_samples=1",0.0063606096,52.853080947699326,1.3597326962886607,0.07507180415656739,2.8517304477200827
39-features-Duval-DryA-20min-full-day_n_neighbors_15_min_dist_0.1,"min_cluster_size=5, min_samples=1",0.17184916,67.61864229323959,1.2801801300610505,0.024093099319199413,0.6421660410284636
39-features-Duval-DryA-20min-full-day_n_neighbors_15_min_dist_0.5,"min_cluster_size=5, min_samples=1",0.013622163,44.82531047617284,1.2975658608671818,0.06408441383428347,2.4555504767885497
39-features-Duval-DryA-20min-full-day_n_neighbors_15_min_dist_0.9,"min_cluster_size=5, min_samples=1",-0.0071728714,43.675849977792026,1.3265356125149566,0.08763983176193327,2.864983800133415
39-features-Duval-DryA-20min-full-day_n_neighbors_50_min_dist_0.1,"min_cluster_size=5, min_samples=1",0.06504137,67.47003229502879,1.3930561174836136,0.02970795508272545,1.5507821047819785
39-features-Duval-DryA-20min-full-day_n_neighbors_50_min_dist_0.5,"min_cluster_size=5, min_samples=1",-0.023246557,42.426485078115384,1.2952150190222842,0.09265457215139736,2.627721949821127
39-features-Duval-DryA-20min-full-day_n_neighbors_50_min_dist_0.9,"min_cluster_size=5, min_samples=1",-0.0038025007,36.79310175225344,1.4179411987286903,0.13488128336494884,3.0375851561107656
39-features-Mourachan-WetA-20min-full-day_n_neighbors_5_min_dist_0.1,"min_cluster_size=5, min_samples=1",0.31366512,68.6988544034632,1.0778363067910475,0.057240507607130904,1.008520071842105
39-features-Mourachan-WetA-20min-full-day_n_neighbors_5_min_dist_0.5,"min_cluster_size=35, min_samples=4",0.32502297,515.450361286693,1.1633347012898094,0.006241352724505924,0.2036239560618045
39-features-Mourachan-WetA-20min-full-day_n_neighbors_5_min_dist_0.9,"min_cluster_size=5, min_samples=1",0.28958654,739.9603403171297,0.8207382714667855,0.09208097357684324,3.75893747005623
39-features-Mourachan-WetA-20min-full-day_n_neighbors_15_min_dist_0.1,"min_cluster_size=5, min_samples=1",0.355769,118.5764525542155,1.1034645823079845,0.012913982888278724,0.17933824015648464
39-features-Mourachan-WetA-20min-full-day_n_neighbors_15_min_dist_0.5,"min_cluster_size=45, min_samples=5",0.43494362,1713.1792326125349,0.93038287650527,0.010941026707851503,1.9953690550160461
39-features-Mourachan-WetA-20min-full-day_n_neighbors_15_min_dist_0.9,"min_cluster_size=5, min_samples=1",0.38891774,1161.5494081550992,0.6560330193225907,0.18380025752351675,1.0
39-features-Mourachan-WetA-20min-full-day_n_neighbors_50_min_dist_0.1,"min_cluster_size=45, min_samples=5",0.44470245,1431.5902541640153,1.0290605605926286,0.0013830226756185113,0.7135293158703058
39-features-Mourachan-WetA-20min-full-day_n_neighbors_50_min_dist_0.5,"min_cluster_size=5, min_samples=1",0.56617343,2921.6809949919007,0.52364092540223,0.03254786876271326,3.652351053058319
39-features-Mourachan-WetA-20min-full-day_n_neighbors_50_min_dist_0.9,"min_cluster_size=5, min_samples=1",0.47005552,2661.636949748079,0.5362916104538696,0.20436849758028158,1.0
39-features-Rinyirru-WetB-20min-full-day_n_neighbors_5_min_dist_0.1,"min_cluster_size=5, min_samples=1",0.34478134,89.95904255558564,1.3213211568262402,0.016884404431094714,0.19272716112690486
39-features-Rinyirru-WetB-20min-full-day_n_neighbors_5_min_dist_0.5,"min_cluster_size=5, min_samples=1",0.2987037,193.3590361540235,1.393803053991451,0.04185325919897151,1.16890896524831
39-features-Rinyirru-WetB-20min-full-day_n_neighbors_5_min_dist_0.9,"min_cluster_size=45, min_samples=5",0.22275214,506.19976018072606,0.710677551036052,0.08209345510660998,3.895761408883695
39-features-Rinyirru-WetB-20min-full-day_n_neighbors_15_min_dist_0.1,"min_cluster_size=5, min_samples=1",0.22550794,81.34808988990783,1.2152929872810667,0.03795502672103876,0.08366996937756759
39-features-Rinyirru-WetB-20min-full-day_n_neighbors_15_min_dist_0.5,"min_cluster_size=5, min_samples=1",0.5431119,1640.7537291072133,0.4158998169204156,0.041762949618608124,7.37783090701695e-15
39-features-Rinyirru-WetB-20min-full-day_n_neighbors_15_min_dist_0.9,"min_cluster_size=5, min_samples=1",0.454772,1003.0530081686265,0.5856351229051473,0.3337847074519759,1.0
39-features-Rinyirru-WetB-20min-full-day_n_neighbors_50_min_dist_0.1,"min_cluster_size=5, min_samples=1",0.26554325,222.42658062821033,1.5783515319252235,0.021932939752210293,0.45366970876261475
39-features-Rinyirru-WetB-20min-full-day_n_neighbors_50_min_dist_0.5,"min_cluster_size=15, min_samples=2",0.6756701,3757.674965561461,0.3148868097729218,0.5370516957119224,3.999999999174203
