x,y,z,class,sound_path,GT,SA
1.2436134,1.7828921,8.544707,0,D:\PhD-data\Mourachan-WetA\20210509T000000+1000_REC_0-4.5.wav,,
2.092929,2.1659386,9.804351,0,D:\PhD-data\Mourachan-WetA\20210509T000000+1000_REC_1003.5-1008.0.wav,,
2.0667522,2.1363285,9.8814125,0,D:\PhD-data\Mourachan-WetA\20210509T000000+1000_REC_1008.0-1012.5.wav,,
1.534004,2.015954,8.977565,0,D:\PhD-data\Mourachan-WetA\20210509T000000+1000_REC_1012.5-1017.0.wav,,
1.9446696,2.2520666,9.124539,0,D:\PhD-data\Mourachan-WetA\20210509T000000+1000_REC_1017.0-1021.5.wav,,
2.2206647,2.266972,9.948089,0,D:\PhD-data\Mourachan-WetA\20210509T000000+1000_REC_1021.5-1026.0.wav,,
2.2432876,2.2995012,9.966998,0,D:\PhD-data\Mourachan-WetA\20210509T000000+1000_REC_1026.0-1030.5.wav,,
1.6360518,2.1306353,8.481829,0,D:\PhD-data\Mourachan-WetA\20210509T000000+1000_REC_103.5-108.0.wav,,
2.0974548,2.1576312,9.851499,0,D:\PhD-data\Mourachan-WetA\20210509T000000+1000_REC_1030.5-1035.0.wav,,
1.9081697,2.046544,9.839818,0,D:\PhD-data\Mourachan-WetA\20210509T000000+1000_REC_1035.0-1039.5.wav,,
2.032655,2.0920622,9.746805,0,D:\PhD-data\Mourachan-WetA\20210509T000000+1000_REC_1039.5-1044.0.wav,,
2.2435555,2.3271902,9.964581,0,D:\PhD-data\Mourachan-WetA\20210509T000000+1000_REC_1044.0-1048.5.wav,,
2.2720108,2.3135028,10.042966,0,D:\PhD-data\Mourachan-WetA\20210509T000000+1000_REC_1048.5-1053.0.wav,,
2.1640234,2.21846,9.856844,0,D:\PhD-data\Mourachan-WetA\20210509T000000+1000_REC_1053.0-1057.5.wav,,
2.0416825,2.2985535,9.031953,0,D:\PhD-data\Mourachan-WetA\20210509T000000+1000_REC_1057.5-1062.0.wav,,
2.0863998,2.1212883,9.14664,0,D:\PhD-data\Mourachan-WetA\20210509T000000+1000_REC_1062.0-1066.5.wav,,
2.1208544,2.0946395,9.209512,0,D:\PhD-data\Mourachan-WetA\20210509T000000+1000_REC_1066.5-1071.0.wav,,
1.6035953,2.1486485,8.859717,0,D:\PhD-data\Mourachan-WetA\20210509T000000+1000_REC_1071.0-1075.5.wav,,
1.9960593,2.2856119,9.743989,0,D:\PhD-data\Mourachan-WetA\20210509T000000+1000_REC_1075.5-1080.0.wav,,
1.5113566,2.0332394,8.573688,0,D:\PhD-data\Mourachan-WetA\20210509T000000+1000_REC_108.0-112.5.wav,,
2.265133,2.3079581,10.038778,0,D:\PhD-data\Mourachan-WetA\20210509T000000+1000_REC_1080.0-1084.5.wav,,
1.4025432,1.9971405,9.249962,0,D:\PhD-data\Mourachan-WetA\20210509T000000+1000_REC_1089.0-1093.5.wav,,
1.6091346,2.2413027,9.437869,0,D:\PhD-data\Mourachan-WetA\20210509T000000+1000_REC_1093.5-1098.0.wav,,
2.0813193,2.1541924,9.699318,0,D:\PhD-data\Mourachan-WetA\20210509T000000+1000_REC_1098.0-1102.5.wav,,
1.732409,2.149284,8.577717,0,D:\PhD-data\Mourachan-WetA\20210509T000000+1000_REC_1102.5-1107.0.wav,,
1.7700794,2.1302333,9.023243,0,D:\PhD-data\Mourachan-WetA\20210509T000000+1000_REC_1107.0-1111.5.wav,,
1.4737443,1.949361,9.4170265,0,D:\PhD-data\Mourachan-WetA\20210509T000000+1000_REC_1111.5-1116.0.wav,,
2.1929147,2.2397556,9.901214,0,D:\PhD-data\Mourachan-WetA\20210509T000000+1000_REC_1116.0-1120.5.wav,,
1.3897452,1.7658018,8.650555,0,D:\PhD-data\Mourachan-WetA\20210509T000000+1000_REC_112.5-117.0.wav,,
2.265229,2.3103325,10.043429,0,D:\PhD-data\Mourachan-WetA\20210509T000000+1000_REC_1120.5-1125.0.wav,,
2.0590775,2.199919,9.29283,0,D:\PhD-data\Mourachan-WetA\20210509T000000+1000_REC_1125.0-1129.5.wav,,
2.1022394,2.2129436,9.3719845,0,D:\PhD-data\Mourachan-WetA\20210509T000000+1000_REC_1129.5-1134.0.wav,,
1.9184409,2.0845168,9.821682,0,D:\PhD-data\Mourachan-WetA\20210509T000000+1000_REC_1134.0-1138.5.wav,,
2.007053,2.1638083,9.780112,0,D:\PhD-data\Mourachan-WetA\20210509T000000+1000_REC_1138.5-1143.0.wav,,
2.2289333,2.4668822,9.432113,0,D:\PhD-data\Mourachan-WetA\20210509T000000+1000_REC_1143.0-1147.5.wav,,
2.0154748,2.163323,9.832173,0,D:\PhD-data\Mourachan-WetA\20210509T000000+1000_REC_1147.5-1152.0.wav,,
1.8617775,2.118284,9.729169,0,D:\PhD-data\Mourachan-WetA\20210509T000000+1000_REC_1152.0-1156.5.wav,,
1.4788209,1.9820602,9.397843,0,D:\PhD-data\Mourachan-WetA\20210509T000000+1000_REC_1161.0-1165.5.wav,,
1.4217541,1.9575429,9.348054,0,D:\PhD-data\Mourachan-WetA\20210509T000000+1000_REC_1165.5-1170.0.wav,,
2.049206,2.3172588,9.774376,0,D:\PhD-data\Mourachan-WetA\20210509T000000+1000_REC_117.0-121.5.wav,,
1.6922917,2.1569555,8.509686,0,D:\PhD-data\Mourachan-WetA\20210509T000000+1000_REC_1170.0-1174.5.wav,,
1.8261344,2.1503088,8.919705,0,D:\PhD-data\Mourachan-WetA\20210509T000000+1000_REC_1174.5-1179.0.wav,,
1.8664573,2.1508274,8.948132,0,D:\PhD-data\Mourachan-WetA\20210509T000000+1000_REC_1179.0-1183.5.wav,,
2.1928935,2.2728333,9.857069,0,D:\PhD-data\Mourachan-WetA\20210509T000000+1000_REC_1183.5-1188.0.wav,,
2.2402573,2.296443,10.01047,0,D:\PhD-data\Mourachan-WetA\20210509T000000+1000_REC_1188.0-1192.5.wav,,
2.1139388,2.3162227,9.761256,0,D:\PhD-data\Mourachan-WetA\20210509T000000+1000_REC_1192.5-1197.0.wav,,
2.061302,2.2755582,9.126785,0,D:\PhD-data\Mourachan-WetA\20210509T000000+1000_REC_1197.0-1201.5.wav,,
2.0349164,2.2964435,9.752948,0,D:\PhD-data\Mourachan-WetA\20210509T000000+1000_REC_121.5-126.0.wav,,
1.429843,1.9907572,8.464652,0,D:\PhD-data\Mourachan-WetA\20210509T000000+1000_REC_126.0-130.5.wav,,
1.1955907,1.7498529,8.511689,0,D:\PhD-data\Mourachan-WetA\20210509T000000+1000_REC_13.5-18.0.wav,,
1.3526505,1.9201472,9.133854,0,D:\PhD-data\Mourachan-WetA\20210509T000000+1000_REC_130.5-135.0.wav,,
1.5656415,2.052968,8.7024555,0,D:\PhD-data\Mourachan-WetA\20210509T000000+1000_REC_135.0-139.5.wav,,
1.9242743,2.3467765,8.647236,0,D:\PhD-data\Mourachan-WetA\20210509T000000+1000_REC_139.5-144.0.wav,,
1.8550376,2.1413193,8.936656,0,D:\PhD-data\Mourachan-WetA\20210509T000000+1000_REC_144.0-148.5.wav,,
2.047731,2.2582698,9.526217,0,D:\PhD-data\Mourachan-WetA\20210509T000000+1000_REC_148.5-153.0.wav,,
1.6544633,2.097618,8.51005,0,D:\PhD-data\Mourachan-WetA\20210509T000000+1000_REC_153.0-157.5.wav,,
1.3763341,1.864752,8.463699,0,D:\PhD-data\Mourachan-WetA\20210509T000000+1000_REC_157.5-162.0.wav,,
1.18209,1.7441409,8.681854,0,D:\PhD-data\Mourachan-WetA\20210509T000000+1000_REC_162.0-166.5.wav,,
1.1890336,1.743406,8.695008,0,D:\PhD-data\Mourachan-WetA\20210509T000000+1000_REC_166.5-171.0.wav,,
1.416782,1.9628713,8.461255,0,D:\PhD-data\Mourachan-WetA\20210509T000000+1000_REC_171.0-175.5.wav,,
1.9437805,2.3528912,9.321601,0,D:\PhD-data\Mourachan-WetA\20210509T000000+1000_REC_175.5-180.0.wav,,
2.1357684,2.2593842,9.668184,0,D:\PhD-data\Mourachan-WetA\20210509T000000+1000_REC_18.0-22.5.wav,,
1.7289755,2.2191718,8.621102,0,D:\PhD-data\Mourachan-WetA\20210509T000000+1000_REC_180.0-184.5.wav,,
1.518484,1.976064,8.944567,0,D:\PhD-data\Mourachan-WetA\20210509T000000+1000_REC_184.5-189.0.wav,,
1.3993982,2.0066206,8.624151,0,D:\PhD-data\Mourachan-WetA\20210509T000000+1000_REC_189.0-193.5.wav,,
