,Best approach,Silhouette Coefficient,Calinski-Harabasz,Davies-Bouldin,Dunn-Index,Composite Score
39-features-Duval-DryA-20min-full-day_perplexity_5,"min_cluster_size=5, min_samples=1",0.2785004,73.49125310451464,1.2449288199062483,0.10308383341032717,3.0162771797258734
39-features-Duval-DryA-20min-full-day_perplexity_30,"min_cluster_size=5, min_samples=1",0.15021999,46.1994406723052,1.2633417224607693,0.11948190637970603,2.9473471769050965
39-features-Duval-DryA-20min-full-day_perplexity_50,"min_cluster_size=5, min_samples=1",0.105919145,39.4473004185584,1.387469037939763,0.09139257614624982,2.8695604171603892
39-features-Mourachan-WetA-20min-full-day_perplexity_5,"min_cluster_size=5, min_samples=1",0.31889802,81.831233804329,1.1750158928521786,0.08972339474834677,2.89007933405116
39-features-Mourachan-WetA-20min-full-day_perplexity_30,"min_cluster_size=5, min_samples=1",0.22047506,84.77544131244329,1.1487730816766317,0.04879762614547465,1.1225517815633221
39-features-Mourachan-WetA-20min-full-day_perplexity_50,"min_cluster_size=5, min_samples=1",0.17477538,65.98634877592332,1.137042243175481,0.04193037717404977,0.9087161277411819
39-features-Rinyirru-WetB-20min-full-day_perplexity_5,"min_cluster_size=5, min_samples=1",0.3187926,85.0560285688672,1.1772172753208359,0.1127662148417253,2.999999997452827
39-features-Rinyirru-WetB-20min-full-day_perplexity_30,"min_cluster_size=45, min_samples=5",0.21806033,553.7648732970092,0.9213468659032097,0.15847343553746412,3.5586359855666982
39-features-Rinyirru-WetB-20min-full-day_perplexity_50,"min_cluster_size=5, min_samples=1",0.2152092,83.63193772328343,1.4082215610087423,0.036830398838666185,1.0164758501900972
39-features-Undara-DryB-20min-full-day_perplexity_5,"min_cluster_size=5, min_samples=1",0.31797192,80.04450221018696,1.2720219579034988,0.10995606352796773,3.2423420259925066
39-features-Undara-DryB-20min-full-day_perplexity_30,"min_cluster_size=5, min_samples=1",0.15407598,46.08495128593918,1.2903074708546893,0.04524790893597452,1.2847699215772792
39-features-Undara-DryB-20min-full-day_perplexity_50,"min_cluster_size=5, min_samples=1",0.1434156,54.752627622588946,1.2976144860774983,0.02875877593777383,0.6337419911935931
39-features-Wambiana-WetA-20min-full-day_perplexity_5,"min_cluster_size=5, min_samples=1",0.3050102,72.98872165994307,1.2874311855565583,0.08861748475371795,2.8638348427726794
39-features-Wambiana-WetA-20min-full-day_perplexity_30,"min_cluster_size=45, min_samples=5",0.40645984,1612.5007467807848,0.8405224575605533,0.14053500653670917,3.9999999977579366
39-features-Wambiana-WetA-20min-full-day_perplexity_50,"min_cluster_size=35, min_samples=4",0.4919446,2243.7582474326146,0.6707956766820697,0.06983900543544538,3.999999996181712
Tarcutta-DryA-20210430_perplexity_5,"min_cluster_size=5, min_samples=1",0.32071868,73.6215555145416,1.3012343106567716,0.12242312565918466,2.995363494817326
Tarcutta-DryA-20210430_perplexity_30,"min_cluster_size=5, min_samples=1",0.18110944,57.69932068741269,1.513303737444218,0.04435229710205327,2.436515255615574
Tarcutta-DryA-20210430_perplexity_50,"min_cluster_size=35, min_samples=4",0.25632492,546.7045897081739,0.811616485354415,0.11492503138958499,3.2867773685735626
