,Best approach,Silhouette Coefficient,Calinski-Harabasz,Davies-Bouldin,Dunn-Index,Composite Score
39-features-Duval-DryA-20min-full-day_perplexity_5,"min_cluster_size=5, min_samples=2",0.10292058,459.9419626753738,1.527061432788714,0.02010783142516028,3.305684714329635
39-features-Duval-DryA-20min-full-day_perplexity_30,"min_cluster_size=5, min_samples=2",0.08137383,542.5100610880359,1.7137337795932808,0.005553359376282568,2.750088544121805
39-features-Duval-DryA-20min-full-day_perplexity_50,"min_cluster_size=5, min_samples=2",0.056116235,461.27408980327,1.7193271568014552,0.00822779975877225,2.9677041809904767
39-features-Mourachan-WetA-20min-full-day_perplexity_5,"min_cluster_size=5, min_samples=2",0.06981482,392.22128579681026,1.0525878626038865,0.09007109059788275,2.6716087898230914
39-features-Mourachan-WetA-20min-full-day_perplexity_30,"min_cluster_size=5, min_samples=2",0.2796878,731.0043278222898,0.8002722080072463,0.0542694395469331,3.2020730283051835
39-features-Mourachan-WetA-20min-full-day_perplexity_50,"min_cluster_size=5, min_samples=2",0.4595523,2132.974624255663,0.9094375838267804,0.007512345798219636,2.9318074284625855
39-features-Rinyirru-WetB-20min-full-day_perplexity_5,"min_cluster_size=5, min_samples=2",0.2969834,92.4005476417561,1.1779479390601792,0.009963692214674557,2.0280248799658516
39-features-Rinyirru-WetB-20min-full-day_perplexity_30,"min_cluster_size=5, min_samples=2",0.21806033,553.7648732970092,0.9213468659032097,0.15847343553746412,3.872672634471443
39-features-Rinyirru-WetB-20min-full-day_perplexity_50,"min_cluster_size=5, min_samples=2",0.16235042,632.1510378844573,1.2534813795408208,0.024416299969674458,2.6859451806677175
39-features-Undara-DryB-20min-full-day_perplexity_5,"min_cluster_size=5, min_samples=2",0.05867526,118.00123260786631,2.4814580289331643,0.0951444311758231,2.509944541448407
39-features-Undara-DryB-20min-full-day_perplexity_30,"min_cluster_size=5, min_samples=2",0.26349542,948.6888047040226,1.3271689411928904,0.0430253537592402,2.7601656223519964
39-features-Undara-DryB-20min-full-day_perplexity_50,"min_cluster_size=5, min_samples=2",0.18869062,485.97577173105356,0.9473681733636385,0.0964201339836887,3.868527178255233
39-features-Wambiana-WetA-20min-full-day_perplexity_5,"min_cluster_size=5, min_samples=2",0.19466563,678.8628832296945,1.3038876446420167,0.08169520200323611,3.4659154777304355
39-features-Wambiana-WetA-20min-full-day_perplexity_30,"min_cluster_size=5, min_samples=2",0.40645984,1612.5007467807848,0.8405224575605533,0.14053500653670917,3.9999999977579366
39-features-Wambiana-WetA-20min-full-day_perplexity_50,"min_cluster_size=5, min_samples=2",0.4919446,2243.7582474326146,0.6707956766820697,0.06983900543544538,3.9999999961817085
Tarcutta-DryA-20210430_perplexity_5,"min_cluster_size=5, min_samples=2",0.29532278,90.13760065754845,1.2258539530662718,0.004273421925253303,2.0432967859962465
Tarcutta-DryA-20210430_perplexity_30,"min_cluster_size=5, min_samples=2",0.16590935,910.9777044730992,1.6622569463103318,0.011798966631661087,3.8533347828200997
Tarcutta-DryA-20210430_perplexity_50,"min_cluster_size=5, min_samples=2",0.25632492,546.7045897081739,0.811616485354415,0.11492503138958499,3.2867773685735626
