,Best approach,Silhouette Coefficient,Calinski-Harabasz,Davies-Bouldin,Dunn-Index,Composite Score
39-features-Duval-DryA-20min-full-day_perplexity_5,7,0.30757862,1510.251144929194,0.9980162806156966,0.008558578921205526,2.7754370019913175
39-features-Duval-DryA-20min-full-day_perplexity_30,9,0.38918906,2224.388733827954,0.8718268807948222,0.010384225681152652,3.654019597886394
39-features-Duval-DryA-20min-full-day_perplexity_50,3,0.4041665,2735.5646254321173,0.9120850596226299,0.012278048799558227,2.805621898371954
39-features-Mourachan-WetA-20min-full-day_perplexity_5,7,0.30032474,1349.437575622188,1.0019840310893193,0.012820620011214558,3.7379831281543554
39-features-Mourachan-WetA-20min-full-day_perplexity_30,9,0.43533185,1851.4051497057671,0.8730618369380858,0.011234414168764676,3.8561640948616063
39-features-Mourachan-WetA-20min-full-day_perplexity_50,9,0.4975477,2510.185843419731,0.7598261073643285,0.014808947432004846,3.1386170985222184
39-features-Rinyirru-WetB-20min-full-day_perplexity_5,7,0.2992541,1329.433120312041,1.0303735947798678,0.009976781335630939,3.3065759548247367
39-features-Rinyirru-WetB-20min-full-day_perplexity_30,9,0.45147064,2420.899279450797,0.8170092683580047,0.014992939972687387,3.8095406136243173
39-features-Rinyirru-WetB-20min-full-day_perplexity_50,9,0.4727819,2980.872801547758,0.7858913110184855,0.021323554241507423,3.99999998663004
39-features-Undara-DryB-20min-full-day_perplexity_5,9,0.30071366,1355.0099001217836,1.0180977564852327,0.010112265423059617,3.1708714526996884
39-features-Undara-DryB-20min-full-day_perplexity_30,7,0.4506088,2575.684199559217,0.7601338625091978,0.006637682541730069,2.741699180007658
39-features-Undara-DryB-20min-full-day_perplexity_50,8,0.4610607,3010.555153752805,0.7316035338391084,0.011663446970452941,3.768026748817456
39-features-Wambiana-WetA-20min-full-day_perplexity_5,5,0.28828993,1357.3310798653283,1.0214756863868235,0.010609721615275628,3.214320770482916
39-features-Wambiana-WetA-20min-full-day_perplexity_30,9,0.44335252,2588.5288117083346,0.8403900762133198,0.015117687787416356,3.6947622728179645
39-features-Wambiana-WetA-20min-full-day_perplexity_50,8,0.48452938,3164.941852753782,0.7450548120706002,0.013395511890085053,3.1432773993285146
Tarcutta-DryA-20210430_perplexity_5,8,0.31868318,1408.7849715816692,0.9721245090304507,0.01579469797882836,3.8275805810303365
Tarcutta-DryA-20210430_perplexity_30,7,0.42790553,2473.8842127342277,0.8690360313817742,0.008054331631185966,3.0633988208095237
Tarcutta-DryA-20210430_perplexity_50,6,0.43520668,2746.619288052692,0.8368533229739029,0.011805885094489757,2.8904840409479653
